"/bat_state/current_x","/bat_state/current_y"
-102019.4671,0.009999999776,
-102014.4067,0.009999999776,
-102009.2474,-0.2399999946,
-102009.0685,-0.2399999946,
-102008.9076,-0.2300000042,
-102008.7289,-0.2300000042,
-102008.5677,-0.2399999946,
-102008.3858,-0.2199999988,
-102008.2085,-0.2300000042,
-102008.0476,0.009999999776,
-102007.8685,0.009999999776,
-102007.6883,0.009999999776,
-102007.5285,-0.009999999776,
-102007.3484,-0.009999999776,
-102007.1891,0.009999999776,
-102007.0084,0,
-102006.8284,0,
-102006.6684,-0.009999999776,
-102006.4884,-0.009999999776,
-102006.3278,0,
-102006.1484,-0.009999999776,
-102005.9681,0.009999999776,
-102005.8086,0,
-102005.6284,0,
-102005.4481,0.009999999776,
-102005.2885,-0.01999999955,
-102005.1085,0,
-102004.9471,0.009999999776,
-102004.7691,0.009999999776,
-102004.5886,-0.009999999776,
-102004.4278,0,
-102004.2478,0,
-102004.0881,-0.009999999776,
-102003.9079,0,
-102003.7261,-0.009999999776,
-102003.5682,-0.009999999776,
-102003.3867,0,
-102003.2288,0,
-102003.0484,0,
-102002.8645,-0.009999999776,
-102002.7085,0,
-102002.5282,-0.009999999776,
-102002.3478,0.009999999776,
-102002.1885,0,
-102002.007,0,
-102001.8458,0.009999999776,
-102001.6659,0,
-102001.4889,0,
-102001.3288,0.009999999776,
-102001.1488,0,
-102000.9876,-0.009999999776,
-102000.8085,0.009999999776,
-102000.6283,0.009999999776,
-102000.4691,-0.009999999776,
-102000.288,0.009999999776,
-102000.1078,-0.009999999776,
-101999.9469,-0.009999999776,
-101999.7682,0,
-101999.6084,0.009999999776,
-101999.4279,0.009999999776,
-101999.3469,0.009999999776,
-101994.2874,0.009999999776,
-101989.2275,0.009999999776,
-101984.0677,-0.2399999946,
-101983.908,-0.2199999988,
-101983.7278,-0.2199999988,
-101983.5684,-0.2199999988,
-101983.3862,-0.2399999946,
-101983.2086,-0.2199999988,
-101983.0462,-0.2199999988,
-101982.8676,-0.2399999946,
-101982.6885,-0.2199999988,
-101982.5277,-0.2199999988,
-101982.3474,-0.2199999988,
-101982.1879,-0.2199999988,
-101982.0061,-0.2300000042,
-101981.8277,-0.2199999988,
-101981.6682,-0.2300000042,
-101981.4877,-0.2300000042,
-101981.3285,-0.2300000042,
-101981.1481,-0.2199999988,
-101980.9678,-0.2399999946,
-101980.8085,-0.2300000042,
-101980.6282,-0.2300000042,
-101980.4479,-0.2399999946,
-101980.2891,-0.2399999946,
-101980.1056,-0.2199999988,
-101979.9469,-0.2300000042,
-101979.7669,-0.2300000042,
-101979.5879,-0.2300000042,
-101979.4285,-0.2300000042,
-101979.2485,-0.2399999946,
-101979.0892,-0.2300000042,
-101978.907,-0.2399999946,
-101978.7285,-0.2399999946,
-101978.5676,-0.2300000042,
-101978.3873,-0.2199999988,
-101978.208,-0.2300000042,
-101978.0477,-0.2300000042,
-101977.8673,-0.2300000042,
-101977.7064,-0.2300000042,
-101977.5276,-0.2399999946,
-101977.3476,-0.2399999946,
-101977.1878,-0.2199999988,
-101977.0076,-0.2300000042,
-101976.848,-0.2399999946,
-101976.6677,-0.2399999946,
-101976.4878,-0.2300000042,
-101976.3282,-0.09000000358,
-101976.148,-0.2199999988,
-101975.9889,0,
-101975.8082,-0.009999999776,
-101975.6278,-0.009999999776,
-101975.4689,0,
-101975.2883,-0.009999999776,
-101975.1077,0,
-101974.9489,0,
-101974.7671,0,
-101974.6089,0.009999999776,
-101974.4284,0,
-101974.2476,0.009999999776,
-101974.186,0.009999999776,
-101969.1276,0,
-101964.0644,0.009999999776,
-101959.0071,0.009999999776,
-101953.9461,0,
-101948.8877,0.009999999776,
-101943.8277,0,
-101938.7676,0,
-101933.7068,0.009999999776,
-101928.5485,-0.2300000042,
-101928.3687,-0.2399999946,
-101928.1885,-0.2199999988,
-101928.0285,-0.2300000042,
-101927.8484,-0.2300000042,
-101927.6876,-0.2300000042,
-101927.5073,-0.2199999988,
-101927.3286,-0.2199999988,
-101927.1663,-0.2399999946,
-101926.9887,-0.2300000042,
-101926.8084,-0.2399999946,
-101926.6475,-0.2300000042,
-101926.4673,-0.2399999946,
-101926.3078,-0.2199999988,
-101926.1276,-0.2199999988,
-101925.9485,-0.2399999946,
-101925.7877,-0.2199999988,
-101925.609,-0.2300000042,
-101925.4464,-0.2199999988,
-101925.2676,-0.2199999988,
-101925.0873,-0.2199999988,
-101924.9277,-0.25,
-101924.7485,-0.2300000042,
-101924.5863,-0.25,
-101924.4076,-0.2399999946,
-101924.2283,-0.2300000042,
-101924.0685,-0.2399999946,
-101923.8884,-0.25,
-101923.7078,-0.2199999988,
-101923.5485,-0.2199999988,
-101923.3678,-0.2300000042,
-101923.2086,-0.2199999988,
-101923.0282,-0.2300000042,
-101922.846,-0.2399999946,
-101922.6883,-0.2399999946,
-101922.5081,-0.2399999946,
-101922.3276,-0.2399999946,
-101922.1684,-0.2300000042,
-101921.9877,-0.2199999988,
-101921.8282,-0.2199999988,
-101921.6485,-0.25,
-101921.4683,-0.2199999988,
-101921.3056,-0.2300000042,
-101921.1286,-0.2300000042,
-101920.9691,-0.2199999988,
-101920.7876,-0.2199999988,
-101920.6086,-0.2300000042,
-101920.4477,-0.2300000042,
-101920.2676,-0.2399999946,
-101920.0875,-0.2199999988,
-101919.9277,-0.25,
-101919.7476,-0.2300000042,
-101919.588,-0.2399999946,
-101919.4077,-0.2300000042,
-101919.2275,-0.2399999946,
-101919.0662,-0.2199999988,
-101918.8876,-0.2399999946,
-101918.7284,-0.2399999946,
-101918.548,-0.2300000042,
-101918.3678,-0.2199999988,
-101918.2082,-0.2300000042,
-101918.028,-0.25,
-101917.8669,-0.2300000042,
-101917.688,-0.2199999988,
-101917.5077,-0.2300000042,
-101917.3484,-0.2399999946,
-101917.1678,-0.2199999988,
-101916.9883,-0.2399999946,
-101916.8272,-0.2399999946,
-101916.6487,-0.2399999946,
-101916.4877,-0.2199999988,
-101916.3078,-0.2199999988,
-101916.1289,-0.2300000042,
-101915.9679,-0.2300000042,
-101915.7879,-0.2300000042,
-101915.6268,-0.2399999946,
-101915.448,-0.2199999988,
-101915.2678,-0.2199999988,
-101915.1066,-0.2300000042,
-101914.9279,-0.2199999988,
-101914.7685,-0.2300000042,
-101914.5882,-0.2199999988,
-101914.4079,-0.2199999988,
-101914.2483,-0.2300000042,
-101914.0683,-0.2399999946,
-101913.8879,-0.2300000042,
-101913.7285,-0.2199999988,
-101913.5482,-0.2300000042,
-101913.3885,-0.2300000042,
-101913.2085,-0.2199999988,
-101913.0283,-0.2399999946,
-101912.8685,-0.2199999988,
-101912.6886,-0.2199999988,
-101912.5276,-0.2300000042,
-101912.3473,-0.2300000042,
-101912.1687,-0.2199999988,
-101912.0077,-0.2300000042,
-101911.8285,-0.25,
-101911.6489,-0.2300000042,
-101911.4875,-0.2199999988,
-101911.3068,-0.2300000042,
-101911.1478,-0.2199999988,
-101910.9676,-0.2300000042,
-101910.7878,-0.2399999946,
-101910.6282,-0.2399999946,
-101910.4477,-0.2399999946,
-101910.2881,-0.2300000042,
-101910.1063,-0.2399999946,
-101909.9278,-0.2399999946,
-101909.7684,-0.2199999988,
-101909.5877,-0.2300000042,
-101909.4285,-0.2199999988,
-101909.2467,-0.2300000042,
-101909.0682,-0.2199999988,
-101908.9086,-0.2300000042,
-101908.728,-0.2300000042,
-101908.5476,-0.2399999946,
-101908.3882,-0.2300000042,
-101908.2076,-0.2300000042,
-101908.0469,-0.2399999946,
-101907.8679,-0.2300000042,
-101907.6879,-0.2300000042,
-101907.5283,-0.2199999988,
-101907.3478,-0.2199999988,
-101907.1868,-0.2399999946,
-101907.0077,-0.2300000042,
-101906.8265,-0.2399999946,
-101906.6686,-0.2199999988,
-101906.4882,-0.2399999946,
-101906.3068,-0.2300000042,
-101906.1469,-0.2300000042,
-101905.9683,-0.25,
-101905.8085,-0.2199999988,
-101905.6286,-0.2300000042,
-101905.4481,-0.2300000042,
-101905.2873,-0.2399999946,
-101905.1085,-0.2300000042,
-101904.9492,-0.2399999946,
-101904.7686,-0.25,
-101904.588,-0.2399999946,
-101904.4273,-0.2399999946,
-101904.2472,-0.25,
-101904.0685,-0.2399999946,
-101903.9086,-0.25,
-101903.7282,-0.2300000042,
-101903.5672,-0.2399999946,
-101903.3874,-0.009999999776,
-101903.2074,-0.009999999776,
-101903.0478,-0.009999999776,
-101902.8677,-0.009999999776,
-101902.7468,0,
-101897.6879,0.009999999776,
-101892.6267,0.009999999776,
-101887.5672,0.009999999776,
