"/bat_state/current_x","/bat_state/current_y","/bat_state/voltage_x","/bat_state/voltage_y"
-102019.4671,0.009999999776,-102019.4671,22.93000031,
-102019.4671,0.009999999776,-102014.4067,22.93499947,
-102014.4067,0.009999999776,-102009.2474,22.91399956,
-102014.4067,0.009999999776,-102009.0685,22.9090004,
-102009.2474,-0.2399999946,-102008.9076,22.86700058,
-102009.0685,-0.2399999946,-102008.7289,22.9090004,
-102008.9076,-0.2300000042,-102008.5677,22.87299919,
-102008.7289,-0.2300000042,-102008.3858,22.91399956,
-102008.5677,-0.2399999946,-102008.2085,22.9090004,
-102008.3858,-0.2199999988,-102008.0476,22.88299942,
-102008.2085,-0.2300000042,-102007.8685,22.93000031,
-102008.0476,0.009999999776,-102007.6883,22.93000031,
-102007.8685,0.009999999776,-102007.5285,22.88800049,
-102007.6883,0.009999999776,-102007.3484,22.93000031,
-102007.6883,0.009999999776,-102007.1891,22.91900063,
-102007.5285,-0.009999999776,-102007.0084,22.93000031,
-102007.5285,-0.009999999776,-102006.8284,22.93499947,
-102007.3484,-0.009999999776,-102006.6684,22.88299942,
-102007.3484,-0.009999999776,-102006.4884,22.93499947,
-102007.1891,0.009999999776,-102006.3278,22.89299965,
-102007.1891,0.009999999776,-102006.1484,22.93000031,
-102007.0084,0,-102005.9681,22.93000031,
-102007.0084,0,-102005.8086,22.91900063,
-102006.8284,0,-102005.6284,22.93000031,
-102006.8284,0,-102005.4481,22.91900063,
-102006.6684,-0.009999999776,-102005.2885,22.88800049,
-102006.6684,-0.009999999776,-102005.1085,22.93000031,
-102006.4884,-0.009999999776,-102004.9471,22.91399956,
-102006.4884,-0.009999999776,-102004.7691,22.93499947,
-102006.3278,0,-102004.5886,22.93000031,
-102006.3278,0,-102004.4278,22.89299965,
-102006.1484,-0.009999999776,-102004.2478,22.93499947,
-102006.1484,-0.009999999776,-102004.0881,22.89900017,
-102005.9681,0.009999999776,-102003.9079,22.93000031,
-102005.9681,0.009999999776,-102003.7261,22.93000031,
-102005.8086,0,-102003.5682,22.87800026,
-102005.8086,0,-102003.3867,22.93499947,
-102005.6284,0,-102003.2288,22.88800049,
-102005.6284,0,-102003.0484,22.93499947,
-102005.4481,0.009999999776,-102002.8645,22.93499947,
-102005.4481,0.009999999776,-102002.7085,22.89299965,
-102005.2885,-0.01999999955,-102002.5282,22.93000031,
-102005.2885,-0.01999999955,-102002.3478,22.93000031,
-102005.1085,0,-102002.1885,22.88299942,
-102005.1085,0,-102002.007,22.93000031,
-102004.9471,0.009999999776,-102001.8458,22.9090004,
-102004.9471,0.009999999776,-102001.6659,22.93000031,
-102004.7691,0.009999999776,-102001.4889,22.93000031,
-102004.7691,0.009999999776,-102001.3288,22.88299942,
-102004.5886,-0.009999999776,-102001.1488,22.93499947,
-102004.4278,0,-102000.9876,22.88800049,
-102004.2478,0,-102000.8085,22.93499947,
-102004.0881,-0.009999999776,-102000.6283,22.93499947,
-102003.9079,0,-102000.4691,22.91399956,
-102003.7261,-0.009999999776,-102000.288,22.93000031,
-102003.5682,-0.009999999776,-102000.1078,22.93499947,
-102003.5682,-0.009999999776,-101999.9469,22.88800049,
-102003.3867,0,-101999.7682,22.93000031,
-102003.3867,0,-101999.6084,22.89299965,
-102003.2288,0,-101999.4279,22.93499947,
-102003.0484,0,-101999.3469,22.93000031,
-102003.0484,0,-101994.2874,22.93000031,
-102002.8645,-0.009999999776,-101989.2275,22.93499947,
-102002.8645,-0.009999999776,-101984.0677,22.91399956,
-102002.7085,0,-101983.908,22.88299942,
-102002.7085,0,-101983.7278,22.9090004,
-102002.5282,-0.009999999776,-101983.5684,22.86199951,
-102002.5282,-0.009999999776,-101983.3862,22.9090004,
-102002.3478,0.009999999776,-101983.2086,22.9090004,
-102002.3478,0.009999999776,-101983.0462,22.9090004,
-102002.1885,0,-101982.8676,22.91399956,
-102002.1885,0,-101982.6885,22.91399956,
-102002.007,0,-101982.5277,22.86700058,
-102002.007,0,-101982.3474,22.90399933,
-102001.8458,0.009999999776,-101982.1879,22.87299919,
-102001.8458,0.009999999776,-101982.0061,22.9090004,
-102001.6659,0,-101981.8277,22.9090004,
-102001.6659,0,-101981.6682,22.87299919,
-102001.4889,0,-101981.4877,22.91399956,
-102001.4889,0,-101981.3285,22.85199928,
-102001.3288,0.009999999776,-101981.1481,22.91399956,
-102001.3288,0.009999999776,-101980.9678,22.9090004,
-102001.1488,0,-101980.8085,22.89299965,
-102001.1488,0,-101980.6282,22.9090004,
-102000.9876,-0.009999999776,-101980.4479,22.9090004,
-102000.9876,-0.009999999776,-101980.2891,22.86199951,
-102000.8085,0.009999999776,-101980.1056,22.91399956,
-102000.8085,0.009999999776,-101979.9469,22.86199951,
-102000.6283,0.009999999776,-101979.7669,22.91399956,
-102000.6283,0.009999999776,-101979.5879,22.9090004,
-102000.4691,-0.009999999776,-101979.4285,22.8409996,
-102000.4691,-0.009999999776,-101979.2485,22.90399933,
-102000.288,0.009999999776,-101979.0892,22.85700035,
